ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,PromotionKey,CurrencyKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,RevisionNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber,OrderDate,DueDate,ShipDate
310,20201229,20210110,20210105,21768,1,19,6,SO43697,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2020-12-29 00:00:00.000,2021-01-10 00:00:00.000,2021-01-05 00:00:00.000
346,20201229,20210110,20210105,28389,1,39,7,SO43698,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,NULL,NULL,2020-12-29 00:00:00.000,2021-01-10 00:00:00.000,2021-01-05 00:00:00.000
346,20201229,20210110,20210105,25863,1,100,1,SO43699,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,NULL,NULL,2020-12-29 00:00:00.000,2021-01-10 00:00:00.000,2021-01-05 00:00:00.000
336,20201229,20210110,20210105,14501,1,100,4,SO43700,1,1,1,699.0982,699.0982,0,0,413.1463,413.1463,699.0982,55.9279,17.4775,NULL,NULL,2020-12-29 00:00:00.000,2021-01-10 00:00:00.000,2021-01-05 00:00:00.000
346,20201229,20210110,20210105,11003,1,6,9,SO43701,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,NULL,NULL,2020-12-29 00:00:00.000,2021-01-10 00:00:00.000,2021-01-05 00:00:00.000
311,20201230,20210111,20210106,27645,1,100,4,SO43702,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2020-12-30 00:00:00.000,2021-01-11 00:00:00.000,2021-01-06 00:00:00.000
310,20201230,20210111,20210106,16624,1,6,9,SO43703,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2020-12-30 00:00:00.000,2021-01-11 00:00:00.000,2021-01-06 00:00:00.000
351,20201230,20210111,20210106,11005,1,6,9,SO43704,1,1,1,3374.99,3374.99,0,0,1898.0944,1898.0944,3374.99,269.9992,84.3748,NULL,NULL,2020-12-30 00:00:00.000,2021-01-11 00:00:00.000,2021-01-06 00:00:00.000
344,20201230,20210111,20210106,11011,1,6,9,SO43705,1,1,1,3399.99,3399.99,0,0,1912.1544,1912.1544,3399.99,271.9992,84.9998,NULL,NULL,2020-12-30 00:00:00.000,2021-01-11 00:00:00.000,2021-01-06 00:00:00.000
312,20201231,20210112,20210107,27621,1,100,4,SO43706,1,1,1,3578.27,3578.27,0,0,2171.2942,2171.2942,3578.27,286.2616,89.4568,NULL,NULL,2020-12-31 00:00:00.000,2021-01-12 00:00:00.000,2021-01-07 00:00:00.000
